#,Open,High,Low,Close,Volume,Stock
250,358.37,362.14,356.94,721.27,"5,101,500",361.805
251,361.11,364.6,359.01,721.69,"4,653,700",365.915
252,363.31,369.35,362.48,735.95,"5,547,600",366.12
253,366.35,368.31,363.93,732.74,"3,323,800",363.82
254,366.4,366.78,360.86,731.29,"3,364,700",365.37
255,364.77,367.8,362.94,736.1,"4,064,500",368.245
256,370.03,371.11,365.38,739.45,"3,685,000",368.305
257,369.61,369.83,366.78,737.96,"2,579,900",364.77
258,367.12,369.71,359.83,721.27,"5,749,200",360.425
259,358.32,366.13,354.72,722.95,"7,884,700",358.16
260,359.85,360.82,355.5,713.23,"4,061,900",356.33
261,357.51,358.48,354.18,709.37,"4,439,500",352.205
262,353.85,355.05,349.36,702.58,"6,477,700",348.905
263,351.01,351.35,346.46,700.95,"7,613,100",369.81
264,366.62,373.1,366.52,739.47,"11,862,400",372.935
265,369.24,377,368.87,752.15,"6,790,600",375.77
266,373.98,377.82,373.72,751.61,"4,468,400",374.47
267,374.48,376.39,372.55,748.67,"3,266,300",374.47
268,371.98,377.06,371.88,751.62,"3,507,200",377.05
269,375.46,379.05,375.05,751.77,"3,478,900",375.56
270,373.85,377.4,373.72,753.62,"3,280,500",382.24
271,377.68,386.85,377.63,773.48,"7,520,100",380.76
272,382.41,383.8,377.72,756.94,"6,103,700",381.22
273,379.14,384.12,378.32,763.64,"3,755,300",381.435
274,378.12,385.04,377.83,768.06,"4,171,700",384.635
275,383.41,387.95,381.32,771.83,"5,701,600",390.095
276,388.61,391.87,388.32,783.22,"6,062,700",387.735
277,387.75,390.04,385.43,780.28,"4,351,800",390.355
278,389.42,392.48,388.23,778.56,"3,731,900",389.87
279,388.61,391.21,388.53,780.72,"2,405,200",390.165
280,388.41,392.9,387.43,785.66,"3,483,500",393.61
281,392.23,395.15,392.07,790.72,"5,480,000",399.075
282,396.51,401.99,396.16,804.64,"5,885,500",398.695
283,401.15,402.97,394.42,790.29,"5,549,000",397.675
284,397.51,401.22,394.13,793.35,"7,039,000",397.275
285,398.14,399.13,395.42,797.52,"4,123,100",398.235
286,399.65,402.7,393.77,788.6,"4,625,000",393.615
287,396.02,396.49,390.74,787.97,"4,421,500",397.475
288,395.92,400.87,394.08,797.59,"4,067,300",400.505
289,399.05,401.99,399.02,799.01,"4,548,500",399.325
290,397.41,402.06,396.59,803.98,"4,367,000",405.44
291,401.15,409.88,401,819.25,"5,571,900",415.705
292,412.92,418.51,412.9,836.3,"8,118,400",416.64
293,418.94,420.42,412.86,829.1,"5,767,400",414.995
294,415.47,416.75,413.24,830.32,"4,120,700",413.44
295,415.69,415.9,410.98,829.24,"5,845,600",416.24
296,414.29,418.28,414.2,832.53,"3,201,200",412.345
297,413.8,414.39,410.3,825.34,"4,031,600",411.705
298,412.4,413.79,409.62,823.05,"3,294,800",409.56
299,411.95,411.95,407.17,819.29,"3,314,700",406.885
300,407.72,408.62,405.15,812.07,"6,222,500",402.05
301,401,404.86,399.24,805.58,"3,690,300",404.91
302,404.11,408.1,401.72,809.1,"4,212,000",405.715
303,406.89,407.23,404.2,812.48,"2,938,500",405.17
304,404.13,406.93,403.41,809.04,"2,966,200",404.705
305,405.85,406.1,403.31,808.09,"2,987,400",404.995
306,404.69,408.09,401.9,807.42,"3,436,800",403.935
307,405.23,405.48,402.39,810.2,"2,392,600",400.58
308,401.83,401.99,399.17,800.46,"4,342,500",398.175
309,400.49,401.18,395.17,792.02,"4,592,600",397.385
310,396.02,399.63,395.14,799,"3,628,100",403.195
311,400.77,405.89,400.5,810.81,"4,098,200",402.21
312,405.21,405.58,398.84,803.99,"3,489,900",397.77
313,400.62,401.37,394.17,792.89,"4,913,400",389.39
314,391.56,392.03,386.75,780.91,"6,893,400",385.545
315,387.92,388.32,382.77,772.73,"5,685,300",387.76
316,386.3,390.41,385.11,775.52,"4,330,700",390.625
317,390,394.7,386.55,788.02,"3,971,900",392.82
318,394.96,395.07,390.57,788.23,"4,072,500",392.285
319,394.52,394.57,390,787.89,"3,285,500",392.035
320,391.51,397.01,387.06,779.79,"4,924,500",393.505
321,391.83,396.51,390.5,791.2,"3,496,900",390.77
322,391.91,393.94,387.6,780.42,"4,089,100",385.32
323,391.21,391.43,379.21,763.81,"6,669,800",390.96
324,383.14,400.22,381.7,797.68,"11,649,800",393.265
325,398.81,400.48,386.05,797.92,"5,788,300",402.46
326,399,406.23,398.69,805.69,"4,601,600",404.98
327,402.55,407.47,402.49,811.22,"3,671,800",404.51
328,406.6,406.71,402.31,806.88,"3,999,200",399.58
329,402.29,402.36,396.8,799.23,"4,993,900",404.905
330,400.13,409.81,400,816.82,"4,618,800",409.79
331,407.97,412.27,407.31,822.31,"4,630,600",408.74
332,410.09,410.82,406.66,818.18,"2,920,800",411.86
333,408.52,415.72,408,827.34,"4,051,600",419.13
334,416.92,421.82,416.44,843.4,"5,044,000",425.935
335,422.55,429.32,422.55,859.19,"4,298,500",427.035
336,429.89,430.32,423.75,854.88,"3,932,600",430.085
337,426.9,435.31,424.86,871.24,"4,955,000",435.34
338,433.79,438.19,432.49,869.09,"4,417,600",436.54
339,436.02,438.63,434.45,877.82,"3,809,500",437.325
340,437.8,439.59,435.06,875.13,"2,907,700",439.81
341,437.11,442.69,436.93,884.67,"3,170,300",450.91
342,446.08,456.48,445.34,913.38,"8,001,600",453.795
343,457.78,458.27,449.32,901.4,"6,443,200",451.81
344,453.31,455.04,448.58,906.69,"5,604,800",454.695
345,450.81,458.58,450.81,906.04,"4,562,300",450.63
346,452.31,454.13,447.13,904.49,"3,980,700",447.37
347,449.59,452.96,441.78,886.98,"5,140,300",439.345
348,436.86,443.32,435.37,880.37,"4,567,200",435.825
349,436,437.77,433.88,870.93,"4,610,700",441.48
350,440.1,444.4,438.56,878.86,"4,531,900",433.945
351,436.22,437.36,430.53,865.93,"4,041,800",434.7
352,433.34,437.81,431.59,868.38,"4,257,200",434.5
353,432.44,436.86,432.14,868.83,"3,953,500",430.63
354,434.87,435.35,425.91,865.25,"4,969,900",429.555
355,432.3,433.67,425.44,856.75,"3,751,100",430.03
356,429.64,433.1,426.96,857.35,"4,229,300",426.79
357,430.54,431.55,422.03,862.27,"5,177,400",434.7
358,433.58,438.36,431.04,877.32,"5,369,200",441.12
359,439.4,443.84,438.4,887.78,"4,693,000",439.98
360,440.33,441.84,438.12,877.4,"3,528,300",437.275
361,441.08,441.35,433.2,869.59,"4,426,100",434.66
362,432.87,438.19,431.13,874.6,"4,155,200",438.065
363,438.41,440.7,435.43,872.64,"4,506,700",440.275
364,437.97,443.05,437.5,883.82,"4,308,500",445.67
